title,plot,ratings,date,total_reviews
The One with Ross's Sandwich,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,9.1,10 Dec. 1998,"-5,208"
The One with the Inappropriate Sister,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,8.1,17 Dec. 1998,"-4,017"
The One with All the Resolutions,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.,9.1,7 Jan. 1999,"-5,078"
The One with Chandler's Work Laugh,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.,8.2,21 Jan. 1999,"-3,998"
The One with Joey's Bag,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",8.1,4 Feb. 1999,"-4,002"
The One Where Everybody Finds Out,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",9.7,11 Feb. 1999,"-10,908"
The One with the Girl Who Hits Joey,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,8.5,18 Feb. 1999,"-4,216"
The One with the Cop,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",8.6,25 Feb. 1999,"-4,340"
The One with Rachel's Inadvertent Kiss,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,8.5,18 Mar. 1999,"-4,035"
The One Where Rachel Smokes,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",7.9,8 Apr. 1999,"-3,916"
